MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,MFCC_17,MFCC_18,MFCC_19,MFCC_20,target
-3.532127e-08,0.0,0.0,-1.7660636e-08,0.0,1.7660636e-08,8.830318e-09,0.0,0.0,0.0,4.415159e-09,-8.830318e-09,0.0,0.0,1.1037897e-09,8.830318e-09,-3.532127e-08,0.0,0.0,0.0,0
0.0,8.830318e-09,-4.415159e-09,0.0,0.0,0.0,8.830318e-09,-8.830318e-09,-8.830318e-09,4.415159e-09,8.830318e-09,-8.830318e-09,0.0,-8.830318e-09,-5.5189484e-09,-8.830318e-09,0.0,0.0,0.0,0.0,0
-8.830318e-09,0.0,0.0,0.0,0.0,4.415159e-09,0.0,-8.830318e-09,6.6227384e-09,-8.830318e-09,-1.7660636e-08,0.0,-1.7660636e-08,8.830318e-09,-4.415159e-09,-8.830318e-09,8.830318e-09,8.830318e-09,8.830318e-09,0.0,0
-2.2075795e-09,0.0,-8.830318e-09,0.0,-8.830318e-09,1.1037897e-08,0.0,-4.415159e-09,-8.830318e-09,0.0,0.0,0.0,-1.7660636e-08,6.6227384e-09,0.0,0.0,4.967054e-09,5.5189484e-09,0.0,0.0,0
-1.7660636e-08,8.830318e-09,0.0,0.0,0.0,0.0,-4.415159e-09,-1.1037897e-08,0.0,8.830318e-09,0.0,0.0,-8.830318e-09,8.830318e-09,1.3245477e-08,0.0,-4.415159e-09,-8.830318e-09,0.0,5.5189486e-10,0
0.0,0.0,-1.3245477e-08,1.7660636e-08,4.415159e-09,0.0,8.830318e-09,0.0,-4.415159e-09,4.415159e-09,0.0,0.0,0.0,2.2075795e-09,1.7660636e-08,0.0,0.0,8.830318e-09,8.830318e-09,-6.6227384e-09,0
4.415159e-09,0.0,1.7660636e-08,-8.830318e-09,0.0,0.0,8.830318e-09,-8.830318e-09,0.0,4.415159e-09,0.0,0.0,-8.830318e-09,-4.415159e-09,0.0,-4.415159e-09,5.5189484e-09,4.415159e-09,1.7660636e-08,8.830318e-09,0
0.0,3.532127e-08,8.830318e-09,0.0,1.7660636e-08,0.0,1.7660636e-08,0.0,8.830318e-09,-8.830318e-09,0.0,0.0,0.0,-4.415159e-09,0.0,0.0,0.0,-1.3245477e-08,0.0,0.0,0
0.0,0.0,8.830318e-09,0.0,0.0,0.0,0.0,-1.7660636e-08,0.0,0.0,0.0,-1.7660636e-08,0.0,0.0,0.0,1.7660636e-08,0.0,4.415159e-09,-7.064254e-08,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7660636e-08,0.0,3.532127e-08,0.0,0.0,0.0,0.0,-8.830318e-09,8.830318e-09,0.0,0.0,0.0,0
-1.7660636e-08,-3.532127e-08,0.0,0.0,0.0,0.0,3.532127e-08,0.0,8.830318e-09,-1.7660636e-08,0.0,1.7660636e-08,0.0,0.0,0.0,8.830318e-09,0.0,-3.3113692e-09,1.7660636e-08,8.830318e-09,0
